DATE,PCAGDPRWA646NWDB
1960-01-01,40.1191924109337
1961-01-01,40.0439354124229
1962-01-01,40.036849273123
1963-01-01,40.1089082198507
1964-01-01,39.8328228603645
1965-01-01,44.4360635734424
1966-01-01,36.157068396837
1967-01-01,44.9533092489254
1968-01-01,47.0233609411225
1969-01-01,49.9486714635381
1970-01-01,56.4371903365366
1971-01-01,55.5243158422878
1972-01-01,59.5945182855124
1973-01-01,68.2585395662764
1974-01-01,70.3220415755844
1975-01-01,126.637378159639
1976-01-01,137.204271050218
1977-01-01,156.096859006131
1978-01-01,184.014166007483
1979-01-01,218.61733702574
1980-01-01,239.115386341838
1981-01-01,258.557757787389
1982-01-01,248.941806728316
1983-01-01,252.532443095316
1984-01-01,262.090822277271
1985-01-01,273.766431254137
1986-01-01,299.287372144724
1987-01-01,320.292078022762
1988-01-01,344.478185035416
1989-01-01,336.744798154075
1990-01-01,348.387830303093
1991-01-01,255.367579339089
1992-01-01,264.98261005303
1993-01-01,249.410570345781
1994-01-01,111.937304240527
1995-01-01,227.45887493522
1996-01-01,205.842129549077
1997-01-01,241.505532906443
1998-01-01,251.349687342382
1999-01-01,269.315854428569
2000-01-01,255.097412853064
2001-01-01,239.13112852343
2002-01-01,234.822310918022
2003-01-01,249.56108099887
2004-01-01,270.306565251175
2005-01-01,325.030205639805
2006-01-01,358.118696439836
2007-01-01,427.432188821022
2008-01-01,529.529272024533
2009-01-01,564.976632424991
2010-01-01,594.115673355408
2011-01-01,650.936675868246
2012-01-01,706.137130523623
2013-01-01,704.415555508211
2014-01-01,724.721973748255
2015-01-01,733.813379277367
2016-01-01,728.802757896536
2017-01-01,756.547641107379
2018-01-01,769.07534431698
2019-01-01,806.332472032037
2020-01-01,773.931800619504
2021-01-01,822.26804122921
2022-01-01,966.571293318523
2023-01-01,1000.21892281433
